     mag        RA       DEC         x         y         z        vx        vy        vz 
   22.71    202.88      -4.0     -79.1     -33.7      -6.7       0.6     -20.7       1.5 
   23.33    202.84     -9.98     -81.1     -34.3     -15.8       1.5     -20.8       0.2 
    23.4    202.94     -0.06     -86.3     -37.2      -0.1       2.5     -19.0       2.4 
   22.92    206.16      0.28     -81.2     -41.3       0.4       5.0     -16.3      -2.1 
   21.29    201.94      3.99     -82.7     -35.1       5.9       1.8     -18.0      -0.5 
   21.09    200.69     -4.77     -91.2     -34.7      -7.1       5.6     -19.8       0.6 
   21.95    201.21      1.17     -88.3     -30.3       1.7       2.8     -20.5      -1.4 
   23.06    203.63      0.33     -85.6     -37.1       0.5       6.1     -19.8       0.2 
   20.77    200.59      1.53     -79.2     -31.8       2.3       4.1     -17.7      -1.0 
   21.68    202.07     -3.78     -76.3     -32.3      -5.4       2.6     -18.3       2.5 
   23.45     200.6      3.85     -80.8     -33.8       5.9       6.9     -17.9      -3.9 
   23.48    202.99      -2.4     -78.3     -34.4      -3.9       0.5     -18.7       4.9 
   23.13    199.13      -1.2     -90.1     -25.4      -1.8       4.7     -17.6      -2.9 
   23.26    194.75     -8.21     -90.2     -22.7     -12.0       0.7     -16.7       1.1 
    23.3    201.62     -4.29     -86.7     -35.0      -6.6       8.7     -18.0      -3.5 
   20.39    199.59     -0.86     -87.7     -27.9      -1.4       1.7     -22.8       2.6 
   23.09    206.39     -4.37     -81.6     -40.1      -6.8       1.1     -16.4      -1.7 
   23.03    198.85     -7.46     -83.3     -30.8     -12.2       3.1     -21.2      -0.7 
   23.33    203.99     -6.44     -83.3     -36.9      -9.6      -1.1     -20.0       3.0 
   22.22    202.27     -3.94     -75.3     -36.7      -6.7       4.0     -17.3       1.3 
   23.37    201.18      -3.7     -82.5     -34.4      -6.1       3.5     -19.2       1.5 
   23.45    204.22     -2.12     -81.1     -36.8      -3.2       2.6     -17.1       2.4 
   23.26    204.11      2.51     -77.7     -38.2       4.5       2.5     -21.3      -1.3 
   23.25    197.14       0.4     -86.5     -26.1       0.7       5.0     -21.8      -3.2 
   23.35    202.06     -4.89     -78.9     -31.8      -7.7       3.6     -20.2       1.3 
   23.36    204.02     -6.79     -83.1     -38.7     -11.4       0.2     -20.4       0.5 
   22.92    199.49      -1.5     -84.3     -33.8      -2.5       6.0     -18.4       1.6 
   23.39    197.29      3.09     -90.9     -26.7       4.1       4.9     -18.9      -3.2 
   23.33    198.77     -3.36     -85.5     -29.6      -5.5       5.3     -19.1       2.7 
    23.2    205.22      1.46     -80.3     -39.3       2.3       5.6     -16.9      -2.0 
   23.41    196.75     -8.41     -86.0     -26.8     -13.5       2.7     -17.8      -0.4 
   23.36    206.61      1.65     -81.1     -42.2       2.6       6.4     -17.4       3.3 
   23.43    204.68     -3.69     -75.6     -37.4      -5.5       2.6     -20.0       3.4 
   22.99     210.7      -4.5     -82.8     -48.2      -6.7       5.2     -17.8       1.4 
   23.19    208.15     -0.28     -75.7     -43.3      -0.5       0.0     -19.2       1.2 
   23.47    201.96     -6.86     -75.7     -33.2     -10.7       5.5     -19.1       3.3 
    20.2    205.68     -3.36     -72.2     -39.1      -5.2       3.6     -15.0       0.9 
   23.48    198.52     -5.79     -76.9     -26.8      -8.8      -0.2     -18.8       0.4 
    23.0    199.47      1.91     -83.6     -32.4       2.9       5.3     -17.2      -0.1 
   23.11    207.67     -6.59     -79.9     -41.4     -10.3       1.3     -16.9       0.4 
   22.92    202.47      2.59     -83.9     -36.2       4.1       5.4     -17.2       1.5 
   23.47    207.44     -0.47     -77.3     -43.4      -0.8       5.3     -21.3      -0.7 
   23.35    202.16     -1.47     -85.9     -36.2      -2.3       8.4     -20.4      -8.5 
   23.43    197.92     -6.73     -85.9     -27.7     -11.3       5.8     -19.5       0.8 
   22.59    198.95      1.89     -79.9     -31.8       2.9       1.5     -22.0       1.4 
   20.27    203.63       4.4     -83.5     -33.9       6.7       5.6     -21.8      -0.3 
   22.14    199.46     -2.58     -80.7     -28.2      -4.0       6.2     -18.6       2.3 
   23.41    202.79     -0.49     -80.5     -34.6      -0.8       6.9     -14.3       1.0 
   22.98    197.35     -9.23     -90.1     -26.6     -16.3       2.3     -22.1      -0.7 
   23.46     204.5     -3.87     -82.3     -36.0      -5.7       4.0     -16.0       1.1 
   23.24    208.99     -1.07     -82.8     -46.0      -1.8       1.6     -18.8      -0.7 
   19.65     197.3     -0.98     -91.9     -27.3      -1.6       5.1     -17.9      -1.6 
   20.93    201.49     -1.59     -84.2     -31.8      -2.5       2.7     -16.9      -0.1 
   23.31     204.7     -1.19     -80.4     -33.5      -2.0       4.4     -16.9      -1.5 
   23.41    206.98     -4.87     -69.9     -38.3      -7.8       2.1     -19.4       1.8 
   23.38    198.79     -1.47     -79.8     -29.7      -2.4       5.0     -20.2      -1.7 
   23.08    199.51      0.67     -89.8     -31.4       1.0       1.7     -19.7       2.5 
   20.49    202.17     -0.65     -88.0     -35.7      -1.1       4.1     -18.0       1.3 
   23.25    197.68     -3.21     -91.3     -28.1      -5.6       1.5     -17.6      -1.3 
   23.43    196.49      -5.0     -83.2     -24.1      -7.6       6.1     -19.3       1.0 
   23.39    202.13     -2.18     -82.3     -34.9      -3.6       1.4     -17.6      -4.9 
   23.43    205.96     -3.95     -83.5     -40.2      -5.9       4.6     -21.8      -1.1 
   23.32    201.94     -4.36     -83.2     -31.7      -7.1       4.8     -17.8       3.8 
   23.44    200.48     -1.08     -90.3     -33.4      -1.7       2.3     -20.0      -3.4 
   23.39    206.29     -1.82     -73.9     -41.1      -2.9       3.9     -18.4       0.6 
   18.39     201.6     -2.74     -86.7     -33.9      -4.3       4.6     -18.0      -0.0 
   23.28    200.17     -5.27     -75.4     -30.9      -9.2       3.0     -18.4      -0.4 
    23.0    202.79     -8.36     -80.2     -30.8     -13.5       1.1     -17.9      -2.7 
   23.18    198.65     -4.15     -82.0     -26.0      -6.1       2.1     -17.1      -4.0 
    23.1    197.19      1.97     -92.8     -27.3       3.4       0.7     -15.4      -1.8 
   23.46    197.93      0.99     -75.5     -27.4       1.5       1.7     -21.2      -0.8 
   21.14    200.32     -2.09     -78.1     -30.8      -3.4       5.3     -18.3      -2.6 
   23.47    204.87     -3.02     -84.7     -37.9      -4.9       3.7     -19.8       0.6 
   19.88    202.16      3.76     -86.1     -32.6       6.3       3.3     -19.3      -0.9 
   23.48    203.51     -6.03     -79.7     -32.0      -9.4       4.9     -18.9       0.7 
   23.26    209.81     -2.28     -76.8     -42.9      -3.5       5.6     -17.2       3.0 
   23.43    203.43      1.28     -86.5     -37.0       2.1       3.8     -18.7      -2.5 
   23.15    201.78     -5.72     -81.4     -33.9      -9.0       2.1     -16.4      -1.4 
   23.23    201.69      1.81     -81.3     -36.1       2.8       1.9     -18.9      -1.5 
   21.94    197.66     -3.88     -90.5     -28.6      -6.2       4.9     -22.3       2.7 
   23.16    197.01      1.23     -87.3     -27.5       2.1       1.6     -18.3       1.2 
   22.67    196.01     -0.88     -84.1     -24.0      -1.3       7.3     -15.5       0.2 
   19.14    199.71      -0.2     -84.5     -31.6      -0.3       0.9     -18.6       0.4 
   22.73    200.31     -2.24     -77.3     -31.5      -3.3       3.0     -20.4      -0.7 
   22.74    205.59      6.54     -85.9     -36.4       9.3       1.4     -19.3       1.3 
   19.58    208.58     -4.52     -83.5     -43.2      -7.8       2.0     -15.6      -1.0 
   23.46    200.71     -3.24     -78.8     -29.6      -5.7       3.2     -18.7       4.6 
   23.37    200.48     -7.88     -84.1     -31.3     -13.5       5.5     -16.9       0.1 
   23.14    207.36    -14.52     -73.4     -37.7     -22.3       2.3     -21.3       1.8 
   22.84    207.88     -4.18     -76.6     -42.4      -6.0       4.5     -20.7       3.8 
   23.11    199.12     -3.38     -89.3     -29.7      -5.3       6.8     -14.5       0.8 
   23.25    205.11     -6.59     -84.9     -38.3     -10.7       4.0     -21.8      -1.6 
   23.15     198.5      0.72     -81.8     -28.9       1.1       4.9     -19.2       1.3 
   22.71    202.24      0.99     -91.1     -37.2       1.6       2.8     -18.6      -0.1 
    23.3    203.37      3.88     -77.1     -34.8       5.9       1.1     -14.2       2.1 
   23.47    199.55     -2.44     -90.1     -30.9      -3.6       5.7     -20.4      -1.9 
   23.05    203.82      0.37     -82.9     -35.9       0.6       2.7     -19.4      -0.7 
   23.37    200.75      0.83     -78.5     -28.8       1.4       2.6     -19.9       2.8 
   23.37     205.2     -5.22     -70.6     -35.6      -8.8       0.4     -19.9       3.2 
   23.13    200.86     -7.29     -81.2     -30.9     -11.4       4.2     -18.5      -0.7 
   19.99     197.5     -4.96     -75.0     -24.6      -7.6       5.1     -19.6      -0.2 
    23.3    207.33     -5.23     -72.4     -42.7      -8.2       4.5     -17.2       0.4 
   23.47    200.42      -3.1     -87.7     -34.4      -5.1       5.2     -18.7       0.0 
    23.3    201.54      -8.2     -82.7     -32.0     -12.2       1.2     -15.5      -0.5 
   23.37    206.75     -0.41     -76.7     -41.8      -0.7       5.4     -19.6       1.8 
   22.71    197.36      -4.5     -85.6     -28.0      -7.2       3.0     -19.9       0.2 
   23.31    199.55     -1.22     -79.5     -30.3      -1.8       3.5     -17.8       1.5 
    21.7    199.71      3.55     -79.1     -29.5       5.5       2.6     -18.0       2.9 
   23.04    210.98      -4.9     -84.7     -47.1      -8.1       1.1     -18.1      -1.1 
   23.19     204.0     -7.32     -76.7     -37.1     -11.9       4.1     -18.1       1.2 
   23.46    204.14     -4.61     -78.5     -37.6      -7.7       2.6     -17.3       2.5 
   22.67    203.31     -6.26     -82.7     -35.4      -9.9       0.9     -19.3       3.9 
   23.45    201.23       0.7     -84.1     -29.9       1.1       3.6     -15.9       3.6 
   23.27    204.15     -5.71     -81.5     -36.8      -9.0       5.1     -20.8      -3.5 
   23.39    207.23     -4.98     -82.4     -41.6      -8.0       5.2     -22.1      -3.4 
   23.06     200.5     -1.56     -82.5     -31.4      -2.5       4.7     -20.2       1.4 
    23.2    204.06     -4.35     -86.3     -33.0      -6.7       5.7     -17.0      -0.7 
   23.37    205.36     -0.96     -80.3     -35.3      -1.5       7.4     -19.8       3.1 
   23.28    200.51     -3.77     -85.7     -24.6      -5.9       4.0     -19.5       0.7 
    23.4    205.89      -8.3     -82.9     -36.1     -13.2       3.2     -21.3       0.9 
   23.45    203.39     -6.22     -80.3     -35.1     -10.2       4.7     -17.3       1.4 
   23.34    203.18     -1.88     -88.0     -38.0      -3.1       0.5     -20.5      -0.2 
   22.82    194.95     -9.31     -86.8     -21.8     -14.8       3.6     -16.0       0.4 
   22.86    196.46     -4.76     -88.7     -25.4      -6.6       3.1     -18.8       1.8 
   22.65    200.65      -4.2     -87.5     -31.4      -6.5       3.8     -19.1      -0.5 
   21.81    198.97     -6.97     -82.3     -32.2     -10.8       6.6     -20.8       0.8 
   23.46    204.19     -2.55     -84.0     -36.1      -3.9       1.9     -17.0       2.7 
   22.89    204.26      -3.1     -80.2     -37.9      -4.9       6.4     -18.8       4.2 
    23.2    198.17     -6.98     -90.7     -28.9     -10.6       2.9     -19.8      -0.8 
   23.07    197.45      3.42     -81.8     -28.1       5.8       4.6     -21.1       1.0 
   23.44    203.99      -1.7     -77.6     -36.5      -2.8       3.8     -18.6       1.9 
   22.99    204.11      2.35     -82.1     -36.1       3.7       1.2     -19.5       0.9 
   22.13    201.18     -6.75     -81.6     -34.6     -10.8       4.4     -18.0      -1.9 
   22.59    202.56     -1.85     -84.9     -33.5      -2.9       2.5     -20.6       0.6 
   23.49    205.73     -2.93     -78.5     -37.0      -5.0      -2.1     -14.7       1.7 
    23.4    198.92     -0.46     -79.9     -32.1      -0.7       3.9     -18.9       2.2 
   23.48    201.69      -6.6     -81.7     -32.1      -9.8       1.4     -19.8       0.5 
   23.04    205.87     -0.09     -77.6     -36.6      -0.1       2.6     -19.9       2.9 
   23.38     208.7       1.5     -79.7     -41.2       2.4       0.8     -19.5       0.9 
   23.01    204.92     -0.81     -79.3     -35.9      -1.3       0.5     -13.7       1.8 
   22.94    203.24     -4.44     -76.5     -37.3      -6.7       8.0     -20.0       0.1 
   23.01    201.41     -2.02     -78.6     -31.2      -3.5       2.2     -20.1       2.5 
   23.07    199.59     -1.92     -85.2     -28.4      -2.9       2.9     -17.3       2.3 
   23.48    204.93      1.19     -83.4     -41.2       1.8       3.4     -19.4      -0.3 
   22.73    203.07     -4.37     -84.9     -31.4      -7.3      -0.1     -19.6       1.0 
   22.74    202.38     -1.31     -78.9     -31.9      -2.0       6.2     -17.2      -2.1 
   22.77    209.82     -0.34     -79.8     -41.7      -0.5       5.4     -16.0      -1.2 
    23.3    204.31      -2.3     -83.6     -38.2      -3.4       3.9     -18.6       0.4 
   23.16    199.14     -0.84     -79.8     -29.0      -1.3       1.8     -18.2      -2.0 
    23.1    197.47      0.36     -92.8     -27.6       0.6       2.7     -19.7      -0.6 
   22.74    203.35     -2.24     -85.9     -34.2      -3.6       1.6     -21.3       0.2 
   23.39    201.33     -9.07     -89.5     -33.7     -14.4       2.8     -18.1      -0.8 
    23.1    198.43     -4.19     -79.0     -27.2      -6.0       1.5     -21.8      -3.5 
   23.39    204.53     -7.96     -73.4     -35.3     -12.3       0.9     -21.8      -1.7 
   22.38    202.38      3.64     -85.4     -34.7       5.9      -1.4     -18.0      -1.4 
   23.28    196.87      -0.4     -85.6     -30.3      -0.6       4.6     -22.3       0.1 
   23.47    206.51     -9.07     -78.3     -38.9     -14.5       4.5     -19.1       0.8 
    23.4    201.56      -0.2     -81.5     -30.0      -0.3       5.4     -21.2      -1.8 
   22.27    204.14     -6.79     -76.4     -38.1     -10.5       5.9     -19.5      -2.1 
   23.42    200.69     -5.68     -80.7     -32.2     -10.2       4.5     -20.5      -1.1 
   23.43    206.02     -0.91     -76.8     -39.6      -1.4       5.4     -19.6      -3.2 
   20.38    201.41     -9.76     -82.5     -32.3     -14.0       3.2     -15.7      -2.7 
   23.32    196.97     -3.58     -83.6     -28.1      -6.0       6.5     -21.3       0.6 
   23.11    205.34     -0.12     -81.1     -39.3      -0.2       4.9     -17.0       0.9 
   20.13    200.03     -4.73     -91.3     -30.8      -7.3       2.9     -21.8      -0.4 
   23.31     206.2      1.99     -87.1     -36.7       2.9       0.8     -18.0       3.3 
   23.14    201.57      -1.1     -86.4     -32.6      -1.6       2.6     -17.5       0.0 
    23.3    200.84      0.59     -80.7     -33.3       0.9      12.3     -16.1      -0.3 
   21.99    204.96      -3.6     -79.2     -37.7      -5.1       5.1     -18.5       1.3 
   23.42    205.58     -2.76     -86.9     -35.1      -4.4       6.2     -19.3       0.4 
   19.53    197.73     -2.17     -78.7     -28.5      -3.6       5.7     -19.1      -0.3 
   23.36     203.2     -2.56     -79.1     -38.6      -4.2       4.2     -20.0       1.4 
   22.71    202.43     -3.64     -78.8     -35.7      -5.5       8.2     -11.2      -2.9 
   22.34    202.26     -3.56     -87.1     -35.5      -6.0       3.0     -21.7      -3.7 
   23.26     201.4     -3.63     -84.0     -37.9      -5.9       2.3     -19.6      -1.8 
   23.45    201.28     -0.31     -85.1     -32.2      -0.5       2.0     -18.6      -1.2 
   23.07    206.37     -3.11     -79.6     -39.6      -4.8       2.1     -16.6       1.1 
   23.42     203.7     -3.87     -78.9     -34.8      -5.6       3.2     -16.6      -0.2 
   23.45    207.22     -0.34     -72.5     -39.7      -0.5       2.6     -17.3       0.4 
   22.91    204.42     -5.39     -76.8     -35.7      -8.7      -0.4     -18.6      -0.5 
   23.48    203.85     -3.33     -85.5     -35.5      -5.4       1.1     -20.0       3.7 
   22.87    196.14     -1.54     -95.3     -25.8      -2.4       3.0     -17.7      -1.0 
   23.12    200.52      2.74     -88.0     -30.0       3.9       5.7     -22.3       0.3 
   22.68    203.79      5.88     -94.0     -36.6       9.3       4.7     -17.9       1.1 
   20.68    207.99     -4.73     -84.6     -42.1      -7.5       4.9     -18.7      -0.0 
   23.29    199.64     -7.84     -89.5     -33.4     -12.5       6.5     -21.8       2.3 
   23.37    203.24      2.05     -82.7     -36.6       3.3       6.3     -18.4       1.9 
   23.43    204.25     -4.04     -85.7     -36.1      -6.6      -3.3     -16.4       1.5 
   23.02    203.24      4.18     -86.8     -34.3       6.6       2.7     -17.3       1.7 
   23.43    199.16      -4.8     -79.6     -30.9      -7.2       1.4     -21.5      -1.6 
   20.94    200.64     -3.93     -81.0     -33.7      -6.4       5.2     -16.5       1.4 
   23.25    198.89     -9.13     -93.1     -28.2     -13.6       1.2     -18.9       4.2 
   23.34    205.01     -6.57     -80.1     -40.4     -10.4       4.5     -15.1      -0.2 
   23.28    204.09     -4.61     -77.0     -35.3      -6.7       5.3     -20.0       0.2 
   20.23     196.6     -2.95     -89.7     -26.1      -4.4       3.7     -17.2       3.6 
   23.28    198.84     -3.08     -78.9     -28.1      -4.5       9.2     -19.4       3.2 
   23.47     202.4      0.03     -80.3     -35.8       0.0       1.6     -20.2      -0.3 
   22.74    201.94     -2.87     -84.7     -33.7      -4.5       4.8     -22.1      -1.8 
   22.33    205.55     -3.77     -80.1     -34.8      -6.1       7.3     -21.4      -0.2 
   23.28    198.32      -5.9     -79.8     -31.4      -9.3       6.2     -21.0      -0.6 
   22.89     202.5     -0.85     -78.0     -34.4      -1.5       2.7     -24.3      -1.8 
   22.89    200.91     -3.41     -85.6     -31.3      -5.8       1.4     -18.1      -0.2 
   23.35    195.87     -1.61     -78.6     -25.7      -2.5       2.5     -19.6      -1.9 
   23.45    198.46     -8.47     -89.3     -29.9     -12.6       3.0     -17.7      -2.6 
    23.4    201.21     -0.64     -78.8     -31.5      -0.9       5.3     -16.9       1.4 
   20.76    202.54      0.47     -79.1     -34.8       0.8       4.2     -18.2      -1.1 
   23.23    202.37     -1.37     -81.9     -35.3      -2.0       4.7     -19.0       2.1 
   23.26    202.26     -2.99     -83.3     -35.3      -4.3       4.2     -21.3      -0.2 
    23.4    204.43     -0.92     -86.7     -37.2      -1.4       4.9     -17.9       0.0 
   22.49     199.9     -5.16     -90.3     -28.2      -8.0       4.0     -17.8      -2.9 
   23.38    203.14      -1.0     -81.6     -36.6      -1.5       1.7     -19.6       0.1 
   23.32    199.81      0.69     -78.4     -29.8       1.1       4.2     -21.1      -2.3 
    19.9    202.33      -6.9     -87.3     -31.6     -10.3       3.5     -19.3       0.2 
   23.43    195.84     -3.75     -87.5     -25.9      -5.1       1.4     -16.3      -0.6 
   22.96    199.28     -7.95     -81.8     -30.0     -11.4       4.6     -20.1      -0.4 
   23.42    204.75       0.2     -87.0     -44.7       0.3       3.1     -20.2      -0.5 
    20.4    203.03     -2.51     -86.2     -35.3      -4.2       2.7     -18.4      -1.8 
   23.34    206.49     -2.54     -80.0     -40.5      -3.9       5.7     -18.6       5.7 
   23.38    204.46      1.68     -83.3     -32.6       2.7       3.9     -16.8       3.5 
   23.27    205.74      1.06     -85.1     -39.4       1.9       3.7     -16.2      -0.8 
   23.22     205.7     -2.63     -86.2     -38.9      -3.7       3.0     -16.8      -0.5 
   23.44    205.94     -2.63     -81.7     -38.5      -4.3       4.9     -15.6      -1.9 
   23.45    195.96     -3.58     -96.2     -26.8      -5.5       2.6     -20.1      -1.3 
   23.46    203.79     -7.69     -67.7     -39.0     -11.4       1.3     -20.6       1.0 
   23.28    202.61      -8.0     -85.1     -33.6     -12.0       6.0     -17.9      -1.5 
   23.11     205.5     -3.98     -82.9     -37.7      -6.5       3.7     -21.8       0.1 
   23.25    202.19     -1.71     -86.7     -33.9      -2.8       5.5     -19.5      -1.1 
   23.27    201.45     -2.45     -87.2     -36.7      -4.0       2.3     -20.3       0.5 
   23.24    205.15     -8.65     -87.2     -38.0     -14.9       2.7     -17.1      -0.2 
   22.42    203.31     -0.41     -82.6     -34.2      -0.6       2.4     -15.8      -1.5 
   22.89    205.54     -0.96     -75.8     -37.0      -1.5       4.6     -20.8       2.4 
    23.4    200.64     -2.65     -82.0     -29.9      -4.5       4.0     -15.4      -2.9 
   23.48    206.05     -1.41     -79.7     -42.6      -2.2       2.4     -22.1       0.8 
   22.75    206.88     -4.24     -80.1     -40.7      -7.5       3.0     -22.3       2.6 
   20.64    204.55      -3.6     -78.2     -42.3      -5.8       6.9     -15.9      -1.8 
   23.29     202.2     -3.07     -77.6     -33.5      -4.6       2.6     -15.3      -0.9 
   23.41    208.33     -4.35     -74.0     -40.5      -7.3       2.9     -17.1      -3.3 
   23.47     204.0     -6.68     -83.6     -35.5      -9.8       0.8     -19.7      -1.9 
   22.86    202.61     -4.31     -76.4     -34.8      -6.6       4.7     -17.0      -2.5 
   23.38    208.92     -0.12     -79.2     -44.6      -0.2      -0.3     -18.7      -0.6 
   23.49    201.47     -7.33     -77.8     -34.1     -10.9       6.3     -15.3       2.3 
   23.26    201.49     -7.03     -83.8     -27.8     -11.6       3.0     -18.4      -3.5 
   23.34    209.05     -0.73     -79.7     -45.8      -1.2       4.5     -12.5       1.9 
    23.3    207.02      3.36     -81.9     -45.7       5.0       5.3     -15.2       0.5 
   23.44    203.82     -3.83     -79.9     -37.4      -5.4       3.7     -20.6       0.1 
   22.83    197.15       0.9     -87.0     -26.6       1.4       2.0     -18.7       3.6 
   23.43    205.52      1.96     -80.1     -36.7       3.3       3.4     -22.9      -1.6 
   23.12     196.5     -2.58     -86.5     -22.8      -3.9       7.1     -21.0       1.2 
   23.36    205.63     -0.26     -76.1     -37.1      -0.4       5.6     -20.9       3.4 
   19.96    203.76      -6.7     -85.3     -40.3      -9.8       3.1     -16.4      -3.0 
